Iteration,QD-Score,Coverage,Maximum,Average
1,-11574.243966429847,0.0042,-58.4172644529026,-275.57723729594875
2,-9636.81466408328,0.0056,-10.531818074197508,-172.0859761443443
3,-9024.443804675053,0.007,10.17172405505553,-128.92062578107218
4,-8494.929684073324,0.0081,38.68089085747488,-104.87567511201635
5,-7395.013729574826,0.0085,69.49379711267538,-87.00016152440972
6,-6032.917324767714,0.0089,113.88326785464305,-67.78558791873836
7,-4357.1119361442,0.009,214.20584786015098,-48.41235484604666
8,-2640.800428820936,0.0092,300.75586391716206,-28.704352487184085
9,-403.00023352520884,0.0092,427.5769196012232,-4.380437320926183
10,3715.238685697219,0.0092,672.9280771136982,40.38302919236107
11,10233.635245717447,0.0092,1116.9190441230312,111.23516571432008
12,22110.5298878386,0.0092,1802.8505653078203,240.3318466069413
13,30276.37064373069,0.0092,2561.133975888742,329.0909852579423
14,35660.89030481715,0.0092,2723.029790702538,387.61837287844725
15,46563.739680688734,0.0094,3282.6412575675176,495.3589327732844
16,50467.0002743643,0.0094,3814.021266352199,536.8829816421734
17,56645.985460015065,0.0095,3814.021266352199,596.2735311580533
18,73581.14946755428,0.01,3814.021266352199,735.8114946755428
19,85344.93706182737,0.0105,3814.021266352199,812.8089243983559
20,98419.05167866463,0.011,3814.021266352199,894.718651624224
21,121069.61612912371,0.0122,3814.021266352199,992.3739026977353
22,147370.0283512142,0.0137,3814.021266352199,1075.6936376001036
23,162823.09809246595,0.0146,3814.021266352199,1115.2266992634654
24,181070.09364464457,0.0152,3814.021266352199,1191.2506160831879
25,187203.1742032859,0.0153,3814.021266352199,1223.5501581914111
26,192949.906685102,0.0153,3814.021266352199,1261.110501209817
27,201975.55232350755,0.0156,3814.021266352199,1294.7150789968432
28,217444.99001471544,0.016,3814.021266352199,1359.0311875919715
29,227426.1121373409,0.017,3814.021266352199,1337.8006596314171
30,234050.99289699353,0.0171,3924.8879924139474,1368.7192567075645
31,242298.88362197572,0.0192,4021.2652333110186,1261.9733521977903
32,195864.28328423927,0.0291,4276.3846241400115,673.0731384338119
33,187680.32167981486,0.033,4507.909379352525,568.7282475145905
34,184708.06690429847,0.0356,4507.909379352525,518.8428845626362
35,205905.1098923745,0.0404,4617.177706655437,509.66611359498637
36,213000.62482541995,0.0406,4617.177706655437,524.632080850788
37,217251.35399144614,0.0406,4617.177706655437,535.1018571217885
38,242659.402662423,0.0441,4707.286950294907,550.2480785995987
39,261468.61566736447,0.0458,4936.284662977979,570.8921739462106
40,271129.45000016957,0.0477,4936.284662977979,568.4055555559111
41,283965.61316219094,0.0492,4936.284662977979,577.1658804109572
42,285065.64680694375,0.0494,4936.284662977979,577.0559651962424
43,291268.6945077338,0.0496,4936.284662977979,587.2352711849472
44,297168.4808604445,0.051,4936.284662977979,582.6832958047931
45,301781.70211192645,0.0527,4936.284662977979,572.6408009713974
46,314542.47373102256,0.0533,4936.284662977979,590.1359732289354
47,325631.95622917224,0.055,4936.284662977979,592.0581022348587
48,327946.9378281077,0.0554,4936.284662977979,591.9619816391836
49,331892.5277833441,0.056,4936.284662977979,592.665228184543
50,340087.3985156166,0.0571,5026.429819392213,595.5996471376823
51,354302.98592729884,0.0593,5142.448414879813,597.4755243293404
52,359703.5669862944,0.0606,5142.448414879813,593.570242551641
53,382681.413800942,0.0623,5142.448414879813,614.2558809003884
54,403654.74930383713,0.0643,5142.448414879813,627.767883831784
55,405876.0700896055,0.0645,5142.448414879813,629.2652249451248
56,408864.80380026717,0.065,5142.448414879813,629.0227750773341
57,410462.2167237113,0.0652,5142.448414879813,629.5432771836063
58,411922.78758708,0.0661,5142.448414879813,623.1812217656278
59,414178.1264766464,0.0662,5142.448414879813,625.6467167320942
60,416096.69486127526,0.0667,5142.448414879813,623.8331257290483
61,416370.7973831958,0.0667,5142.448414879813,624.2440740377748
62,416443.5924038223,0.0667,5142.448414879813,624.3532119997336
63,415982.04795958794,0.0668,5142.448414879813,622.7276167059699
64,416048.1917824424,0.0668,5142.448414879813,622.8266344048538
65,416048.1917824424,0.0668,5142.448414879813,622.8266344048538
66,416269.07392417314,0.0668,5142.448414879813,623.1572962936724
67,417179.09473852866,0.0668,5142.448414879813,624.5196029019891
68,417092.5092718335,0.067,5142.448414879813,622.5261332415425
69,418072.3982980222,0.067,5142.448414879813,623.9886541761525
70,418785.7278694398,0.067,5142.448414879813,625.0533251782683
71,418874.7652038109,0.067,5142.448414879813,625.1862167221058
