Iteration,QD-Score,Coverage,Maximum,Average
1,9086.492470199053,0.0272,493.2062917841598,133.62488926763314
2,64981.25165195325,0.0424,1192.8073872253299,613.0306759618231
3,122564.5692285721,0.0512,2003.6160589342937,957.5356970982195
4,198884.3211275945,0.0592,3461.7074145942925,1343.8129805918547
5,221039.73649006773,0.0592,4406.314780904353,1493.5117330409983
6,228985.7949989845,0.0592,5194.189477670193,1547.201317560706
7,240831.92372738413,0.0592,5998.115440425277,1627.2427278877306
8,251501.39033325977,0.0592,6670.467380283773,1699.3337184679715
9,256832.67241677223,0.0592,6765.37311476469,1735.3558947079205
10,259137.99931070572,0.0592,7051.409287506342,1750.9324277750386
11,267776.1627392958,0.0592,7482.9596222952005,1809.2983968871338
12,272369.82113089925,0.0592,7582.05006402582,1840.3366292628327
13,289264.97585635365,0.0592,7780.424352966249,1954.4930801104977
14,292754.9884072463,0.0592,7976.78054433614,1978.0742459949074
15,294912.52852617606,0.0592,8038.773583953082,1992.6522197714598
16,296130.0418128091,0.0592,8217.573889036477,2000.878660897359
17,330850.77942983765,0.0612,8279.495930863917,2162.4233949662594
18,342892.54061831086,0.0612,8279.495930863917,2241.127716459548
19,360961.06355785095,0.062,8279.495930863917,2328.7810552119417
20,412474.90997818,0.066,8279.495930863917,2499.847939261697
21,419330.75747198035,0.0676,8279.495930863917,2481.2470856330197
22,541863.5910956201,0.0912,8279.495930863917,2376.5946977878075
23,542908.591963571,0.0912,8279.495930863917,2381.178034927943
24,570623.8753734865,0.0968,8279.495930863917,2357.9498982375476
25,627115.8854752553,0.1092,8279.495930863917,2297.1277856236457
26,671537.8777327863,0.1288,8279.495930863917,2085.521359418591
27,679194.3827844111,0.1296,8279.495930863917,2096.2789592111453
28,707271.8458372095,0.1384,8279.495930863917,2044.1382827665013
29,710236.9596972476,0.1388,8279.495930863917,2046.7923910583504
30,719695.177178134,0.1448,8279.495930863917,1988.1082242489888
31,731284.4302312521,0.1548,8279.495930863917,1889.6238507267497
32,727893.9560573745,0.162,8279.495930863917,1797.2690273021592
33,655177.3275659065,0.2044,8279.495930863917,1282.1474120663531
34,660692.5885813233,0.2096,8279.495930863917,1260.8637186666474
35,658450.2217543273,0.2172,8279.495930863917,1212.6155096764776
36,633487.8357989608,0.2488,8279.495930863917,1018.4691893873967
37,632704.3780765042,0.2504,8279.495930863917,1010.7098691317959
38,628840.3560717538,0.2852,8279.495930863917,881.9640337612254
39,615128.8444258295,0.3052,8279.495930863917,806.1976991164213
40,616326.151352489,0.3072,8279.495930863917,802.5080095735534
41,619407.0077488031,0.3224,8279.495930863917,768.4950468347433
42,622432.2993390015,0.3224,8279.495930863917,772.2485103461557
43,628553.2144262337,0.3268,8279.495930863917,769.3429797138723
44,678185.0229582738,0.3532,8279.495930863917,768.0464586163915
45,712608.7389428157,0.3624,8279.495930863917,786.5438619677877
46,735413.2259276349,0.3644,8279.495930863917,807.259303982036
47,760144.0217511475,0.3696,8279.495930863917,822.6666902068696
48,783375.9549923927,0.3816,8279.495930863917,821.1487997823823
49,793780.6159194128,0.3816,8279.495930863917,832.0551529553593
50,806404.7472951969,0.3848,8279.495930863917,838.2585730719302
51,831635.7256579516,0.3852,8279.495930863917,863.5885001640203
52,834732.1994245591,0.3876,8279.495930863917,861.4367383122385
53,857072.3812874025,0.3876,8279.495930863917,884.4916215556269
54,885171.061939232,0.3984,8279.495930863917,888.7259658024418
55,896635.9968429683,0.4024,8279.495930863917,891.2882672395311
56,885806.0265252797,0.4104,8279.495930863917,863.3587003170368
57,896272.0698852938,0.4132,8279.495930863917,867.6399514862477
58,898903.7037066683,0.414,8279.495930863917,868.5059939194863
59,910332.6723256803,0.4176,8279.495930863917,871.9661612314945
60,912081.3829430942,0.4244,8279.495930863917,859.643150747497
61,919621.2844566924,0.4244,8279.495930863917,866.7495612221418
62,921639.2065449519,0.4268,8279.495930863917,863.7668290018294
63,913165.5091308489,0.4568,8279.495930863917,799.6195351408485
64,915660.569063005,0.4648,8279.495930863917,788.0039320679906
65,914909.7648360993,0.4664,8279.495930863917,784.6567451424522
66,917652.6877412372,0.4716,8279.495930863917,778.3313721299722
67,861571.8184881699,0.4968,8279.495930863917,693.6971163350804
68,857176.5933313556,0.5116,8279.495930863917,670.1928016664234
69,858333.7056836748,0.5264,8279.495930863917,652.2292596380507
70,859612.272187889,0.5264,8279.495930863917,653.2008147324384
71,858850.290587641,0.5276,8279.495930863917,651.1374454796368
72,862525.0335063868,0.528,8279.495930863917,653.4280556866566
73,864249.3554562633,0.5316,8279.495930863917,650.3004931950815
74,867226.9085465439,0.534,8279.495930863917,649.6081711959131
75,870428.0045172703,0.552,8279.495930863917,630.7449308096161
76,849324.6328162793,0.5604,8279.495930863917,606.2274324170445
77,851285.1348452024,0.5608,8279.495930863917,607.1933914730403
78,861174.1244293419,0.5612,8279.495930863917,613.8090694435793
79,875370.8583757265,0.5616,8279.495930863917,623.4835173616285
80,878910.2229284088,0.5616,8279.495930863917,626.0044322851915
81,883362.4556084959,0.562,8279.495930863917,628.7277264117408
82,883543.6751248958,0.562,8279.495930863917,628.8567082739471
83,884777.0053106442,0.562,8279.495930863917,629.7345233527717
84,887647.2177954643,0.562,8279.495930863917,631.7773792138536
85,895003.2869823339,0.5624,8279.495930863917,636.5599480670938
86,901642.5859574709,0.5624,8279.495930863917,641.2820668260817
87,919286.2160202299,0.5628,8279.495930863917,653.3661805403198
88,937905.8508005601,0.5628,8279.495930863917,666.5997518127648
89,950557.6207961184,0.5628,8279.495930863917,675.5917702886413
90,1008352.4258736296,0.5628,8279.495930863917,716.6683908128142
91,1036440.3531328702,0.5628,8279.495930863917,736.631381046816
92,1061007.118262253,0.5628,8279.495930863917,754.091768487742
93,1090342.9255503137,0.5628,8279.495930863917,774.9416670577922
94,1113755.4876959005,0.5628,8279.495930863917,791.5817254412939
95,1149208.6072710354,0.5628,8279.495930863917,816.7793939381914
96,1163768.3112505418,0.5628,8279.495930863917,827.1274422534057
97,1189493.3852300183,0.5628,8279.495930863917,845.4110769225432
98,1208430.3562603756,0.5628,8279.495930863917,858.8701892397836
99,1245083.0793135376,0.5628,8279.495930863917,884.9204543806237
100,1250081.6975170309,0.5628,8279.495930863917,888.4731325636325
101,1258324.2018319657,0.5628,8279.495930863917,894.3313445856188
102,1270121.0554364847,0.5628,8279.495930863917,902.7157465788804
103,1278999.819445392,0.5628,8279.495930863917,909.0261687600511
104,1281909.9574495496,0.5628,8279.495930863917,911.094497121215
