Iteration,QD-Score,Coverage,Maximum,Average
1,1398.2245208747686,0.5,354.2348896384239,279.6449041749537
2,1626.0052261225765,0.5,460.8844312123838,325.20104522451527
3,2573.927150831907,0.9,786.4303918301827,285.99190564798965
4,2582.835477135866,0.9,786.4303918301827,286.98171968176285
5,2667.4880864245583,0.9,786.4303918301827,296.38756515828425
6,2667.4880864245583,0.9,786.4303918301827,296.38756515828425
7,2667.4880864245583,0.9,786.4303918301827,296.38756515828425
8,2667.4880864245583,0.9,786.4303918301827,296.38756515828425
9,2667.4880864245583,0.9,786.4303918301827,296.38756515828425
10,2667.4880864245583,0.9,786.4303918301827,296.38756515828425
11,2685.0967382473636,0.9,786.4303918301827,298.34408202748483
12,2685.0967382473636,0.9,786.4303918301827,298.34408202748483
13,2767.1254297597097,0.9,786.4303918301827,307.45838108441217
14,2768.605302785127,0.9,786.4303918301827,307.6228114205697
15,3494.7152881070156,0.9,1028.4314496859909,388.3016986785573
16,3914.6938061353867,0.9,1028.4314496859909,434.9659784594874
17,3914.6938061353867,0.9,1028.4314496859909,434.9659784594874
18,3915.936310949654,0.9,1028.4314496859909,435.10403454996157
19,3915.936310949654,0.9,1028.4314496859909,435.10403454996157
20,4269.150148929528,0.9,1028.4314496859909,474.3500165477253
21,4269.8059900006865,0.9,1028.4314496859909,474.42288777785404
22,4269.8059900006865,0.9,1028.4314496859909,474.42288777785404
23,4269.8059900006865,0.9,1028.4314496859909,474.42288777785404
24,4272.285808788112,0.9,1028.4314496859909,474.69842319867917
25,4273.784852586559,0.9,1028.4314496859909,474.8649836207288
26,4274.576900078229,0.9,1028.4314496859909,474.952988897581
27,4276.4728964908645,0.9,1028.4314496859909,475.1636551656516
28,4276.4728964908645,0.9,1028.4314496859909,475.1636551656516
29,4278.146471084528,0.9,1028.4314496859909,475.34960789828085
30,4280.360926796369,0.9,1028.4314496859909,475.5956585329299
31,4280.539273901157,0.9,1028.4314496859909,475.6154748779063
32,4281.223593051604,0.9,1028.4314496859909,475.6915103390672
33,4308.710219130352,0.9,1028.4314496859909,478.74557990337246
34,4641.353186689284,0.9,1028.4314496859909,515.7059096321426
35,6573.352981883207,0.9,1105.0117648446933,730.3725535425785
36,6645.888982635097,0.9,1141.5290070727467,738.4321091816774
37,6983.969041014754,0.9,1147.6870571374893,775.9965601127504
38,7043.963273243153,0.9,1147.6870571374893,782.6625859159059
39,7121.077181023779,0.9,1147.6870571374893,791.230797891531
40,7176.464706520935,0.9,1147.6870571374893,797.384967391215
41,7233.50737418934,0.9,1147.6870571374893,803.7230415765933
42,7325.566820342385,0.9,1147.6870571374893,813.9518689269316
43,7418.959385920421,0.9,1147.6870571374893,824.3288206578245
44,7418.959385920421,0.9,1147.6870571374893,824.3288206578245
45,7446.139311448636,0.9,1147.6870571374893,827.3488123831818
46,7446.139311448636,0.9,1147.6870571374893,827.3488123831818
47,7446.139311448636,0.9,1147.6870571374893,827.3488123831818
48,7448.93945643917,0.9,1150.487202128023,827.6599396043522
49,7448.93945643917,0.9,1150.487202128023,827.6599396043522
50,7464.103519960959,0.9,1150.487202128023,829.3448355512177
51,8595.005697835284,1.0,1150.487202128023,859.5005697835284
52,8703.264534940106,1.0,1150.487202128023,870.3264534940106
53,9087.217085556407,1.0,1150.487202128023,908.7217085556407
54,9087.217085556407,1.0,1150.487202128023,908.7217085556407
55,9091.827024068218,1.0,1150.487202128023,909.1827024068218
56,9108.21293910658,1.0,1150.487202128023,910.8212939106579
57,9163.48356160363,1.0,1150.487202128023,916.3483561603631
58,9168.412108579847,1.0,1150.487202128023,916.8412108579847
59,9204.442226874711,1.0,1150.487202128023,920.4442226874711
60,9204.442226874711,1.0,1150.487202128023,920.4442226874711
61,9204.442226874711,1.0,1150.487202128023,920.4442226874711
62,9403.140870162704,1.0,1199.9190170019865,940.3140870162704
63,9403.90443803356,1.0,1199.9190170019865,940.390443803356
64,9403.90443803356,1.0,1199.9190170019865,940.390443803356
65,9403.90443803356,1.0,1199.9190170019865,940.390443803356
66,9407.066070779681,1.0,1199.9190170019865,940.7066070779681
67,9418.084219050083,1.0,1199.9190170019865,941.8084219050082
68,9418.084219050083,1.0,1199.9190170019865,941.8084219050082
69,9419.621754442947,1.0,1199.9190170019865,941.9621754442948
70,9419.621754442947,1.0,1199.9190170019865,941.9621754442948
71,9419.621754442947,1.0,1199.9190170019865,941.9621754442948
72,9419.621754442947,1.0,1199.9190170019865,941.9621754442948
73,9419.621754442947,1.0,1199.9190170019865,941.9621754442948
74,9419.621754442947,1.0,1199.9190170019865,941.9621754442948
75,9423.222692553618,1.0,1199.9190170019865,942.3222692553618
76,9423.222692553618,1.0,1199.9190170019865,942.3222692553618
77,9423.222692553618,1.0,1199.9190170019865,942.3222692553618
78,9423.222692553618,1.0,1199.9190170019865,942.3222692553618
79,9423.222692553618,1.0,1199.9190170019865,942.3222692553618
80,9423.222692553618,1.0,1199.9190170019865,942.3222692553618
81,9423.222692553618,1.0,1199.9190170019865,942.3222692553618
82,9460.750030779698,1.0,1199.9190170019865,946.0750030779698
83,9460.750030779698,1.0,1199.9190170019865,946.0750030779698
84,9460.750030779698,1.0,1199.9190170019865,946.0750030779698
85,9460.750030779698,1.0,1199.9190170019865,946.0750030779698
86,9573.335433483728,1.0,1263.0726048320532,957.3335433483728
87,9577.107276163948,1.0,1265.3924806839786,957.7107276163948
88,9577.107276163948,1.0,1265.3924806839786,957.7107276163948
89,9577.107276163948,1.0,1265.3924806839786,957.7107276163948
90,9577.107276163948,1.0,1265.3924806839786,957.7107276163948
91,9577.107276163948,1.0,1265.3924806839786,957.7107276163948
92,9577.107276163948,1.0,1265.3924806839786,957.7107276163948
93,9577.107276163948,1.0,1265.3924806839786,957.7107276163948
94,9577.107276163948,1.0,1265.3924806839786,957.7107276163948
95,9578.722581387265,1.0,1265.3924806839786,957.8722581387265
96,9613.606841918036,1.0,1265.3924806839786,961.3606841918036
97,9620.618575699582,1.0,1265.3924806839786,962.0618575699582
98,9620.618575699582,1.0,1265.3924806839786,962.0618575699582
99,9620.618575699582,1.0,1265.3924806839786,962.0618575699582
100,9620.618575699582,1.0,1265.3924806839786,962.0618575699582
101,9620.618575699582,1.0,1265.3924806839786,962.0618575699582
102,9620.618575699582,1.0,1265.3924806839786,962.0618575699582
103,9747.91000055154,1.0,1392.6839055359364,974.791000055154
104,9828.675758055644,1.0,1392.6839055359364,982.8675758055645
105,9828.675758055644,1.0,1392.6839055359364,982.8675758055645
106,9872.367738559144,1.0,1392.6839055359364,987.2367738559144
107,9872.367738559144,1.0,1392.6839055359364,987.2367738559144
108,9872.367738559144,1.0,1392.6839055359364,987.2367738559144
109,9872.367738559144,1.0,1392.6839055359364,987.2367738559144
110,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
111,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
112,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
113,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
114,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
115,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
116,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
117,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
118,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
119,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
120,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
121,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
122,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
123,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
124,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
125,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
126,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
127,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
128,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
129,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
130,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
131,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
132,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
133,9911.19267537822,1.0,1431.5088423550128,991.1192675378221
134,9932.936753263371,1.0,1431.5088423550128,993.2936753263372
135,9932.936753263371,1.0,1431.5088423550128,993.2936753263372
136,9998.612618524628,1.0,1431.5088423550128,999.8612618524628
137,9998.612618524628,1.0,1431.5088423550128,999.8612618524628
138,9998.612618524628,1.0,1431.5088423550128,999.8612618524628
139,9998.612618524628,1.0,1431.5088423550128,999.8612618524628
140,9998.612618524628,1.0,1431.5088423550128,999.8612618524628
141,9998.612618524628,1.0,1431.5088423550128,999.8612618524628
142,9998.612618524628,1.0,1431.5088423550128,999.8612618524628
143,9998.612618524628,1.0,1431.5088423550128,999.8612618524628
144,9998.612618524628,1.0,1431.5088423550128,999.8612618524628
145,10002.929548866348,1.0,1431.5088423550128,1000.2929548866348
146,10010.961495239335,1.0,1431.5088423550128,1001.0961495239335
147,10010.961495239335,1.0,1431.5088423550128,1001.0961495239335
148,10010.961495239335,1.0,1431.5088423550128,1001.0961495239335
149,10010.961495239335,1.0,1431.5088423550128,1001.0961495239335
150,10010.961495239335,1.0,1431.5088423550128,1001.0961495239335
151,10244.992895409465,1.0,1431.5088423550128,1024.4992895409464
152,10244.992895409465,1.0,1431.5088423550128,1024.4992895409464
153,10244.992895409465,1.0,1431.5088423550128,1024.4992895409464
154,10244.992895409465,1.0,1431.5088423550128,1024.4992895409464
155,10244.992895409465,1.0,1431.5088423550128,1024.4992895409464
156,10244.992895409465,1.0,1431.5088423550128,1024.4992895409464
157,10248.453273227811,1.0,1431.5088423550128,1024.845327322781
158,10274.398353299499,1.0,1431.5088423550128,1027.4398353299498
159,10307.993379852176,1.0,1431.5088423550128,1030.7993379852176
160,10324.021101014316,1.0,1431.5088423550128,1032.4021101014316
161,10324.021101014316,1.0,1431.5088423550128,1032.4021101014316
162,10371.516700409353,1.0,1431.5088423550128,1037.1516700409352
163,10378.855258306861,1.0,1431.5088423550128,1037.8855258306862
164,10378.855258306861,1.0,1431.5088423550128,1037.8855258306862
165,10378.855258306861,1.0,1431.5088423550128,1037.8855258306862
166,10378.855258306861,1.0,1431.5088423550128,1037.8855258306862
167,10378.855258306861,1.0,1431.5088423550128,1037.8855258306862
168,10378.855258306861,1.0,1431.5088423550128,1037.8855258306862
169,10378.855258306861,1.0,1431.5088423550128,1037.8855258306862
170,10379.02951823026,1.0,1431.5088423550128,1037.902951823026
