Iteration,QD-Score,Coverage,Maximum,Average
1,74183.63164336034,0.1036,427.5995320320129,286.42328819830243
2,92652.7383961141,0.11,637.1310297966004,336.9190487131422
3,109454.14694255589,0.116,874.1726560354233,377.42809290536513
4,129767.68103830813,0.1192,1324.4698132038116,435.46201690707426
5,148075.04799987076,0.1204,2386.4929315805434,491.94368106269354
6,170291.3812407255,0.1208,3666.769144499302,563.8787458302169
7,189826.9459541678,0.1208,5291.847273182869,628.5660462058537
8,201794.0838377833,0.1212,6605.849555230141,665.9870753722222
9,212410.00177310704,0.1216,6870.94078400135,698.7171110957469
10,224861.25551406143,0.122,7233.667113733291,737.25001807889
11,226553.9559917092,0.122,7594.473873162269,742.7998557105219
12,229878.3650217175,0.122,7797.818580627441,753.6995574482542
13,238284.87085787053,0.1224,8103.66233522892,778.7087282936945
14,238780.66074191328,0.1224,8325.18342142105,780.3289566729192
15,247776.7228575587,0.1228,8522.375272846222,807.0903024676179
16,250114.00648683307,0.1228,8721.348049783706,814.7036041916386
17,254456.3773728251,0.1228,8865.747239661217,828.8481347649026
18,270322.07142075297,0.1232,8903.030908989906,877.6690630543927
19,287886.49280453916,0.1236,8903.030908989906,931.6714977493176
20,388471.9764104604,0.1236,8903.030908989906,1257.1908621697748
21,397565.3168140888,0.134,8903.030908989906,1186.7621397435487
22,400522.9964357078,0.1456,8903.030908989906,1100.3379022959004
23,440962.4798620283,0.1484,8903.030908989906,1188.578112835656
24,488805.0678396165,0.152,8903.030908989906,1286.3291258937277
25,537780.2267224967,0.1552,8903.030908989906,1386.0315121713832
26,600332.5247107445,0.1632,8903.030908989906,1471.40324684006
27,603685.3008105694,0.1632,8903.030908989906,1479.6208353200232
28,618546.424584335,0.164,8903.030908989906,1508.6498160593535
29,620585.9221491753,0.164,8916.461208558083,1513.6242003638422
30,625142.498524016,0.164,9179.533852410317,1524.7378012780878
31,625642.278646916,0.164,9302.362630748748,1525.9567771876
32,636452.473925203,0.1644,9393.219651198388,1548.5461652681338
33,637492.4624093472,0.1644,9436.625591373444,1551.076550874324
34,637962.6526691853,0.1644,9456.233380818367,1552.2205661050737
35,639234.6090759932,0.1644,9498.466462206841,1555.3153505498617
36,639290.9417773186,0.1644,9500.140261387825,1555.4524130835002
37,641252.2750423609,0.1644,9500.140261387825,1560.224513485063
38,645816.6413468062,0.1644,9500.140261387825,1571.330027607801
39,673089.4188527762,0.1644,9500.140261387825,1637.6871504933727
40,726439.0153733074,0.1716,9500.140261387825,1693.3310381662177
41,727304.6732248876,0.1716,9500.140261387825,1695.3488886361015
42,728018.221140227,0.1752,9500.140261387825,1662.1420573977787
43,735208.7188046786,0.1776,9500.140261387825,1655.8754928033302
44,735208.7188046786,0.1776,9500.140261387825,1655.8754928033302
45,735208.7188046786,0.1776,9500.140261387825,1655.8754928033302
46,735208.7188046786,0.1776,9500.140261387825,1655.8754928033302
47,735208.7188046786,0.1776,9500.140261387825,1655.8754928033302
48,735208.7188046786,0.1776,9500.140261387825,1655.8754928033302
49,735456.9562776897,0.1776,9500.140261387825,1656.4345862110129
50,744637.1609307382,0.178,9500.140261387825,1673.3419346758162
51,754994.5862023446,0.1784,9500.140261387825,1692.8129735478578
52,755031.256029186,0.1784,9500.140261387825,1692.8951928905515
53,755361.739588389,0.1784,9500.140261387825,1693.6361874179127
54,762700.5069330308,0.1788,9522.32846570015,1706.2651161812769
55,763386.8997099015,0.1788,9522.32846570015,1707.8006704919499
56,763574.6149574611,0.1788,9550.830890417099,1708.2206151173627
57,763690.0970485065,0.1788,9565.976154017448,1708.4789643143322
58,763765.7657282922,0.1788,9582.56447453499,1708.6482454771638
59,764913.7094064328,0.1788,9602.194398212432,1711.2163521396708
60,765120.1083648059,0.1788,9602.194398212432,1711.6780947758523
61,765130.2197403524,0.1788,9602.194398212432,1711.7007153028017
62,765155.768674979,0.1788,9602.194398212432,1711.757871756105
63,767044.9344366643,0.1788,9602.194398212432,1715.9841933706136
64,767044.9344366643,0.1788,9602.194398212432,1715.9841933706136
65,769194.2618201348,0.1788,9602.194398212432,1720.7925320360957
66,769194.2618201348,0.1788,9602.194398212432,1720.7925320360957
67,769640.1797134015,0.1788,9602.194398212432,1721.7901112156633
68,779175.4461130712,0.1792,9602.194398212432,1739.230906502391
69,779175.4461130712,0.1792,9602.194398212432,1739.230906502391
70,784938.4662678572,0.1792,9602.194398212432,1752.094790776467
71,785340.3851147982,0.1792,9602.194398212432,1752.9919310598175
72,786586.2765715691,0.1792,9602.194398212432,1755.772938775824
73,786761.8524367186,0.1792,9602.194398212432,1756.1648491891042
74,786794.7310696695,0.1792,9602.194398212432,1756.238238994798
75,786833.5555070016,0.1792,9602.194398212432,1756.3249006852714
76,787708.5800768468,0.1792,9602.194398212432,1758.278080528676
77,787714.6037007662,0.1792,9603.715569758415,1758.2915261177818
78,787720.0249384256,0.1792,9603.715569758415,1758.3036270947
79,787728.1485005947,0.1792,9603.715569758415,1758.3217600459702
80,787898.1724639507,0.1792,9603.715569758415,1758.7012778213186
81,788174.7829962822,0.1792,9619.286100649833,1759.3187120452728
82,788248.3262080761,0.1792,9619.286100649833,1759.4828710001698
83,788248.3262080761,0.1792,9619.286100649833,1759.4828710001698
84,789530.6565342041,0.1792,9619.286100649833,1762.3452154781342
85,790990.2258176896,0.1792,9619.286100649833,1765.6031826287713
86,800256.8212246033,0.1792,9619.286100649833,1786.2875473763468
87,804672.0404064271,0.1792,9619.286100649833,1796.1429473357748
88,813967.0465610358,0.1792,9619.286100649833,1816.8907289308834
89,838281.2309018465,0.1792,9619.286100649833,1871.163461834479
90,861556.6794925304,0.1792,9619.286100649833,1923.1175881529696
91,871950.9284957738,0.1792,9619.286100649833,1946.3190368209237
92,877704.1098571868,0.1792,9619.286100649833,1959.1609595026491
93,895977.1548098655,0.1792,9619.286100649833,1999.9490062720213
94,904219.5843723627,0.1792,9619.286100649833,2018.3472865454526
95,966279.8198150011,0.1792,9619.286100649833,2156.8745978013417
96,994507.3276526065,0.1792,9619.286100649833,2219.8824277959966
97,1000718.6230486961,0.1876,9619.286100649833,2133.7284073532965
98,1001488.5716493936,0.1916,9619.286100649833,2090.790337472638
99,1001488.5716493936,0.1916,9619.286100649833,2090.790337472638
100,1001498.8094832273,0.1916,9619.286100649833,2090.811710820934
101,1001498.8094832273,0.1916,9619.286100649833,2090.811710820934
102,1001549.3700422139,0.1916,9619.286100649833,2090.9172652238285
103,1001550.7091055246,0.1916,9619.286100649833,2090.920060763099
104,1001550.7091055246,0.1916,9619.286100649833,2090.920060763099
105,1001591.1301016898,0.1916,9619.286100649833,2091.004446976388
106,1001591.1301016898,0.1916,9619.286100649833,2091.004446976388
107,1001591.1301016898,0.1916,9619.286100649833,2091.004446976388
108,1014494.2014350505,0.192,9619.286100649833,2113.5295863230217
109,1052328.10154849,0.192,9619.286100649833,2192.350211559354
110,1052334.0819657655,0.192,9619.286100649833,2192.3626707620115
111,1053544.5020280213,0.1928,9619.286100649833,2185.77697516187
112,1053763.0099086375,0.1928,9619.286100649833,2186.230311013771
113,1054413.9653192041,0.1928,9619.286100649833,2187.580840911212
114,1054959.2095603463,0.1928,9619.286100649833,2188.7120530297643
115,1055308.7278103589,0.1928,9619.286100649833,2189.4371946273004
116,1055308.7278103589,0.1928,9619.286100649833,2189.4371946273004
117,1055641.878751111,0.1928,9619.286100649833,2190.1283791516826
118,1055889.9173817157,0.1928,9619.286100649833,2190.642982119742
119,1058569.9764378308,0.1928,9619.286100649833,2196.203270617906
120,1066532.1007372378,0.1928,9619.286100649833,2212.7222006996635
121,1074853.7262158392,0.1928,9619.286100649833,2229.9869838502887
122,1091558.1590638158,0.1928,9619.286100649833,2264.6434835348878
123,1096245.89181087,0.1928,9619.286100649833,2274.369070147033
124,1101104.0765063285,0.1928,9619.286100649833,2284.4482915069057
125,1107766.289862919,0.1928,9619.286100649833,2298.2703109189188
126,1114435.9874797107,0.1928,9619.286100649833,2312.1078578417237
127,1121667.3998757603,0.1928,9619.286100649833,2327.110788123984
128,1123380.0070141319,0.1928,9619.286100649833,2330.6639149670787
129,1125484.386535788,0.1928,9619.286100649833,2335.0298475846225
130,1127448.3973320487,0.1928,9619.286100649833,2339.104558780184
131,1128795.8342666628,0.1928,9619.286100649833,2341.9000710926616
132,1161809.0574535492,0.1928,9619.286100649833,2410.3922353808075
133,1162255.5437672737,0.1928,9619.286100649833,2411.3185555337627
134,1162969.1615031841,0.1928,9619.286100649833,2412.799090255569
135,1163440.3186955098,0.1928,9619.286100649833,2413.7765948039623
136,1164298.4857026462,0.1928,9619.286100649833,2415.5570242793488
137,1172970.6418916944,0.1928,9639.813536024094,2433.5490495678305
138,1172970.6418916944,0.1928,9639.813536024094,2433.5490495678305
139,1173793.695667458,0.1928,9639.813536024094,2435.256630015473
140,1176078.3915441278,0.1928,9639.813536024094,2439.996662954622
141,1180555.6963791135,0.1932,9639.813536024094,2444.214692296301
142,1183223.5754519703,0.1932,9639.813536024094,2449.7382514533547
143,1189711.7735058786,0.1936,9639.813536024094,2458.0821766650383
144,1213004.8963216546,0.1952,9639.813536024094,2485.6657711509315
145,1220236.3635413887,0.1964,9639.813536024094,2485.206443057818
146,1220379.3951828957,0.1968,9639.813536024094,2480.445925168487
147,1224466.4675814153,0.1976,9639.813536024094,2478.6770598814073
148,1224684.4505112174,0.1976,9639.813536024094,2479.1183208729094
149,1225471.4650614145,0.198,9639.813536024094,2475.699929416999
150,1230489.6769235495,0.2024,9639.813536024094,2431.797780481323
151,1232178.093498731,0.2024,9639.813536024094,2435.1345721318794
152,1232361.975083876,0.2028,9639.813536024094,2430.6942309346664
153,1242631.1962144854,0.2068,9639.813536024094,2403.541965598618
154,1256689.7387261274,0.2068,9639.813536024094,2430.734504305856
155,1257646.5444959523,0.2068,9659.170477628708,2432.5851924486506
156,1257646.5444959523,0.2068,9659.170477628708,2432.5851924486506
157,1261109.013479531,0.2084,9659.170477628708,2420.554728367622
158,1261109.013479531,0.2084,9659.170477628708,2420.554728367622
159,1261136.573090351,0.2084,9659.170477628708,2420.607625893188
160,1264085.2921741514,0.2096,9659.170477628708,2412.3765117827315
161,1267132.8818548708,0.21,9659.170477628708,2413.5864416283252
162,1267832.193970633,0.21,9659.170477628708,2414.9184647059674
163,1274654.8995643856,0.2124,9659.170477628708,2400.4800368444176
164,1285176.113053036,0.2136,9659.370250344276,2406.696840923288
165,1309227.0209928753,0.2168,9690.89494960308,2415.548009211947
166,1315657.1033857109,0.2196,9690.89494960308,2396.4610262034807
167,1317102.364173758,0.2224,9690.89494960308,2368.8891441974065
168,1320708.888508308,0.2224,9690.89494960308,2375.3756987559495
169,1322980.014076054,0.2236,9690.89494960308,2366.6905439643187
170,1325160.5678577304,0.2236,9690.89494960308,2370.591355738337
171,1328538.5120367408,0.224,9690.89494960308,2372.3902000656085
172,1330124.7880243422,0.2244,9690.89494960308,2370.9889269596115
173,1333750.1788259626,0.238,9690.89494960308,2241.5969392032985
174,1340292.8859822154,0.2456,9690.89494960308,2182.8874364531193
175,1350079.1238087416,0.2464,9690.89494960308,2191.686889299905
176,1381048.1708528877,0.2544,9690.89494960308,2171.4593881334713
177,1413926.8665830374,0.2844,9690.89494960308,1988.6453819733297
178,1414507.6381691934,0.2852,9690.89494960308,1983.8816804617018
179,1418469.3726570369,0.2864,9690.89494960308,1981.1024757779844
180,1419435.1827670336,0.2868,9690.89494960308,1979.6864473738265
181,1420937.1608540057,0.2872,9690.89494960308,1979.021115395551
182,1423529.3863506077,0.2872,9690.89494960308,1982.631457312824
183,1425914.8496515034,0.288,9690.89494960308,1980.4372911826435
184,1435559.2063595294,0.2892,9690.89494960308,1985.5590682704417
