Iteration,QD-Score,Coverage,Maximum,Average
1,11241.730798681394,0.0188,340.671764922142,239.1857616740722
2,32589.055073770884,0.0424,468.61238098472825,307.4439157902913
3,47625.57998617636,0.0656,530.5260966310277,290.39987796449
4,65800.67170951214,0.0828,705.5372750332579,317.8776411087543
5,66386.8282934118,0.0848,705.5372750332579,313.14541647835756
6,67341.28858332768,0.0856,705.5372750332579,314.67891861368076
7,70220.59260239745,0.088,705.5372750332579,319.1845118290793
8,74100.02108342765,0.0912,705.5372750332579,325.0000924711739
9,80729.17904953173,0.0956,705.5372750332579,337.77899183904486
10,86005.35616947383,0.1124,736.54999116346,306.0688831653873
11,110670.42977933158,0.1444,813.061446574633,306.5662874773728
12,169108.1078403056,0.19,813.061446574633,356.01706913748546
13,189074.910023377,0.2092,822.8244787128642,361.5199044424034
14,239171.53759628767,0.2292,919.3297641994083,417.402334373975
15,258346.8141915674,0.2388,997.5893256248207,432.74173231418325
16,266245.5938292358,0.2424,1030.1299036042997,439.3491647347126
17,279428.728300654,0.2448,1134.7036036439822,456.5828893801536
18,304598.01445576653,0.2456,1134.7036036439822,496.0879714263299
19,358766.42904444784,0.2524,1134.7036036439822,568.5680333509474
20,367503.067021474,0.2532,1134.7036036439822,580.5735655947457
21,367503.067021474,0.2532,1134.7036036439822,580.5735655947457
22,367503.067021474,0.2532,1134.7036036439822,580.5735655947457
23,367505.8864780917,0.2532,1134.7036036439822,580.5780197126252
24,368609.78960238,0.254,1134.7036036439822,580.4878576415433
25,370319.8300026705,0.2556,1134.7036036439822,579.5302503954156
26,370332.9572372874,0.2556,1134.7036036439822,579.5507937985718
27,370333.36209971516,0.2556,1134.7036036439822,579.5514273860957
28,370727.0735066432,0.2556,1134.7036036439822,580.1675641731505
29,371478.7982614769,0.256,1134.7036036439822,580.4356222835577
30,371602.28471249837,0.256,1134.7036036439822,580.6285698632787
31,371800.872456639,0.256,1134.7036036439822,580.9388632134985
32,373091.0851282859,0.256,1134.7036036439822,582.9548205129468
33,375168.4796213753,0.2568,1134.7036036439822,584.3745788494942
34,375875.9108284576,0.2568,1134.7036036439822,585.4764966175352
35,377876.40668507514,0.2572,1134.7036036439822,587.6771488103813
36,379962.6902214514,0.258,1134.7036036439822,589.0894422038007
37,380836.9454212377,0.258,1134.7036036439822,590.4448766220739
38,381276.08548591234,0.258,1134.7036036439822,591.125713931647
39,383262.904085756,0.258,1134.7036036439822,594.2060528461333
40,383830.5376568509,0.258,1134.7036036439822,595.0861048943425
41,384405.88799731754,0.258,1134.7036036439822,595.9781209260736
42,384410.9895577612,0.258,1134.7036036439822,595.9860303221103
43,384719.5940032162,0.258,1134.7036036439822,596.4644868266918
44,386731.8353844164,0.2592,1134.7036036439822,596.8083879389142
45,387557.9291672807,0.26,1134.7036036439822,596.2429679496626
46,388911.0807793174,0.2604,1134.7036036439822,597.40565403889
47,388991.0945568098,0.2604,1134.7036036439822,597.5285630672962
48,390236.2784574084,0.262,1134.7036036439822,595.7805777975701
49,391690.3700292836,0.2744,1134.7036036439822,570.9772157861277
50,399709.06409197627,0.2844,1134.7036036439822,562.1787118030609
51,402800.2457121222,0.3044,1134.7036036439822,529.3038708437873
52,403554.7837950084,0.3132,1134.7036036439822,515.395637030662
53,434722.0874950815,0.3172,1134.7036036439822,548.199353713848
54,454926.1145519584,0.3196,1134.7036036439822,569.3693548835524
55,464341.796717172,0.3204,1134.7036036439822,579.7026176244345
56,467032.60623336287,0.3204,1134.7036036439822,583.0619303787302
57,482307.0258620706,0.3232,1134.7036036439822,596.9146359679091
58,490919.1524058515,0.324,1134.7036036439822,606.0730276615451
59,496137.7051312113,0.3244,1134.7036036439822,611.7604255625293
60,496137.7051312113,0.3244,1134.7036036439822,611.7604255625293
61,496148.22680457775,0.3244,1134.7036036439822,611.7733992658171
62,496339.9292030508,0.3244,1134.7036036439822,612.0097770691132
63,501176.10285411216,0.3248,1134.7036036439822,617.2119493277244
64,546992.60093562,0.326,1134.7036036439822,671.156565565178
65,562885.7634255099,0.3276,1134.7036036439822,687.284204426752
66,565210.0279475242,0.3276,1134.7036036439822,690.1221342460614
67,565215.9988204539,0.3276,1134.7036036439822,690.1294246891989
68,565228.7223265826,0.3276,1134.7036036439822,690.1449601057175
69,567402.0493140552,0.328,1134.7036036439822,691.9537186756771
70,567426.4036075047,0.328,1134.7036036439822,691.9834190335423
71,568294.103098263,0.328,1134.7036036439822,693.0415891442232
72,568294.103098263,0.328,1134.7036036439822,693.0415891442232
73,576140.6242064277,0.3284,1134.7036036439822,701.7547188872445
74,577112.7359741959,0.3284,1134.7036036439822,702.9387770696661
75,583039.0419986445,0.3292,1134.7036036439822,708.4313997553396
76,587361.3536363615,0.33,1134.7036036439822,711.9531559228625
77,587720.5029490055,0.33,1134.7036036439822,712.388488423037
78,588965.2525279425,0.3304,1134.7036036439822,713.0329933752331
79,588974.5535135292,0.3304,1134.7036036439822,713.0442536483405
80,589056.6495906675,0.3304,1134.7036036439822,713.1436435722367
81,589347.6929335007,0.3304,1134.7036036439822,713.4959962875312
82,589374.0010181094,0.3304,1134.7036036439822,713.5278462688975
83,589378.719886198,0.3304,1134.7036036439822,713.5335591842592
84,590646.4809977199,0.3312,1134.7036036439822,713.3411606252656
85,590666.9303630461,0.3312,1134.7036036439822,713.3658579263843
86,590666.9303630461,0.3312,1134.7036036439822,713.3658579263843
87,592122.552689605,0.332,1134.7036036439822,713.4006658910904
88,593142.1248604453,0.3328,1134.7036036439822,712.9112077649582
89,598451.2410793554,0.3348,1134.7036036439822,714.9955090553827
90,598559.4894722599,0.3348,1134.7036036439822,715.1248380791635
91,599527.8573656378,0.3352,1134.7036036439822,715.427037429162
92,599527.8573656378,0.3352,1134.7036036439822,715.427037429162
93,599583.370864688,0.3352,1134.7036036439822,715.4932826547589
94,600766.3313492874,0.3352,1134.7036036439822,716.9049300110828
95,611681.7427844146,0.3356,1134.7036036439822,729.0604800767754
96,618585.1543766548,0.3392,1134.7036036439822,729.4636254441683
97,625983.310556302,0.3436,1134.7036036439822,728.7349366196763
98,630139.9810198265,0.3452,1134.7036036439822,730.1737902894861
99,638819.2826141587,0.3512,1134.7036036439822,727.5846043441443
100,638819.2826141587,0.3512,1134.7036036439822,727.5846043441443
101,640184.5382117277,0.352,1134.7036036439822,727.4824297860542
102,640184.5382117277,0.352,1134.7036036439822,727.4824297860542
103,640184.5382117277,0.352,1134.7036036439822,727.4824297860542
104,644712.7224578061,0.3704,1134.7036036439822,696.2340415311081
105,644622.239477194,0.3856,1134.7036036439822,668.6952691672137
106,644622.239477194,0.3856,1134.7036036439822,668.6952691672137
107,645692.9968626252,0.3856,1134.7036036439822,669.8060133429723
108,645708.8868575117,0.3856,1134.7036036439822,669.8224967401574
109,645708.8868575117,0.3856,1134.7036036439822,669.8224967401574
110,645708.8868575117,0.3856,1134.7036036439822,669.8224967401574
111,645905.9327204601,0.3888,1134.7036036439822,664.5122764613787
112,647094.4407255604,0.3976,1134.7036036439822,651.0004433858757
113,647094.4407255604,0.3976,1134.7036036439822,651.0004433858757
114,647091.0270632356,0.3992,1134.7036036439822,648.3878026685728
115,649696.6458610871,0.4,1134.7036036439822,649.6966458610872
116,660518.7227634885,0.4184,1134.7036036439822,631.4710542671975
117,659897.2614785619,0.4248,1134.7036036439822,621.3721859496817
118,659897.2614785619,0.4248,1134.7036036439822,621.3721859496817
119,668210.0302291772,0.4272,1134.7036036439822,625.6648223119637
120,678722.944904406,0.4284,1134.7036036439822,633.728239873395
121,685939.2762983259,0.4292,1134.7036036439822,639.2723917039384
122,698735.9328436179,0.436,1134.7036036439822,641.0421402235027
123,706480.7970259587,0.4512,1134.7036036439822,626.3127633208853
124,720346.7925222134,0.4708,1134.7036036439822,612.0193649296631
125,735514.5943343908,0.4788,1134.7036036439822,614.4649910897167
126,750182.0627897225,0.4804,1134.7036036439822,624.631192997271
127,760273.4510016119,0.4864,1134.7036036439822,625.2248774684308
128,769624.3081083798,0.4884,1134.7036036439822,630.3229386637017
129,781662.339925591,0.4916,1134.7036036439822,636.0149226408389
130,794841.1166927346,0.498,1134.7036036439822,638.4265997532005
131,801572.7883866619,0.506,1134.7036036439822,633.6543781712743
132,813571.6331575107,0.5104,1134.7036036439822,637.5953237911525
133,813669.248532585,0.5104,1134.7036036439822,637.671824868797
134,813672.4374365367,0.5104,1134.7036036439822,637.674324009825
135,813672.4374365367,0.5104,1134.7036036439822,637.674324009825
136,826311.2246552238,0.5104,1134.7036036439822,647.5793296671033
137,833043.3251222516,0.5104,1134.7129098297096,652.855270471984
138,840890.3460387478,0.5104,1137.9805409640073,659.0049733845985
139,840890.3460387478,0.5104,1137.9805409640073,659.0049733845985
140,840890.3460387478,0.5104,1137.9805409640073,659.0049733845985
141,840890.3460387478,0.5104,1137.9805409640073,659.0049733845985
142,840890.3460387478,0.5104,1137.9805409640073,659.0049733845985
143,841801.0428941916,0.5104,1137.9805409640073,659.7186856537552
144,851854.2774563441,0.5108,1137.9805409640073,667.074610380849
145,867424.1870649416,0.5108,1137.9805409640073,679.2671785943161
146,913142.3346125539,0.5168,1630.2066237926483,706.7665128580139
147,916526.6310858066,0.5196,1630.2066237926483,705.5632263940005
148,917230.2253275084,0.5208,1630.2066237926483,704.4778996371032
149,918624.4585944521,0.5216,1630.2066237926483,704.4666093515738
150,919192.9512963998,0.5228,1630.2066237926483,703.2845840064268
151,919192.9512963998,0.5228,1630.2066237926483,703.2845840064268
152,919337.1969541649,0.5228,1630.2066237926483,703.3949479373871
153,919356.0841544727,0.5228,1630.2066237926483,703.4093987409891
154,919993.4965602722,0.5232,1630.2066237926483,703.3589423243671
155,921213.9572110857,0.5244,1630.2066237926483,702.6803640054048
156,930294.9843060974,0.5352,1630.2066237926483,695.2877311704764
157,935991.3605978406,0.542,1630.2066237926483,690.7685318065245
158,936809.3423137299,0.5432,1630.2066237926483,689.8448765196833
159,936911.2371692947,0.5436,1630.2066237926483,689.4122422143449
160,936911.2371692947,0.5436,1630.2066237926483,689.4122422143449
161,936977.6049454621,0.544,1630.2066237926483,688.954121283428
162,937428.5876404872,0.544,1630.2066237926483,689.2857262062406
163,939293.9561454848,0.544,1630.2066237926483,690.6573206952095
164,939664.2186657623,0.544,1630.2066237926483,690.9295725483547
165,939829.6380372525,0.544,1630.2066237926483,691.0512044391562
166,939855.7829034626,0.544,1630.2066237926483,691.0704286054872
167,939881.0282385595,0.544,1630.2066237926483,691.088991351882
168,939883.9349113173,0.544,1630.2066237926483,691.0911286112628
169,939883.9349113173,0.544,1630.2066237926483,691.0911286112628
170,941231.0429299263,0.544,1630.2066237926483,692.0816492131811
171,944473.6932889876,0.5492,1630.2066237926483,687.8905267946013
172,944473.6932889876,0.5492,1630.2066237926483,687.8905267946013
173,944712.1952612494,0.5492,1630.2066237926483,688.064235441551
174,946646.2853533903,0.55,1630.2066237926483,688.4700257115566
175,946465.9403959782,0.5532,1630.2066237926483,684.3571514070702
176,946465.9403959782,0.5532,1630.2066237926483,684.3571514070702
177,950521.568363104,0.5544,1630.2066237926483,685.801997375977
178,950620.0589181461,0.5544,1630.2066237926483,685.8730583825007
179,950692.151826001,0.5544,1630.2066237926483,685.9250734675331
180,951086.1956430145,0.5544,1630.2066237926483,686.2093763658113
181,951086.1956430145,0.5544,1630.2066237926483,686.2093763658113
182,956302.7999744244,0.56,1630.2066237926483,683.0734285531603
183,977507.9097023,0.5648,1630.2066237926483,692.2860550299575
184,983053.4798164704,0.566,1630.2066237926483,694.7374415664102
185,998205.0062225974,0.5716,1630.2066237926483,698.5339441725664
186,1045132.880306094,0.5828,1778.5962399542332,717.3183804434412
187,1085810.1573756626,0.5872,2577.2678365826605,739.6526957599881
188,1147328.5082440285,0.5916,2577.2678365826605,775.7461178120544
189,1198827.276597221,0.6,2577.2678365826605,799.2181843981473
190,1206404.4635779043,0.6,2577.2678365826605,804.2696423852695
191,1211579.8684651873,0.6004,2577.2678365826605,807.1817911160475
192,1242198.3408160352,0.6044,2577.2678365826605,822.1034684421146
193,1246119.18516571,0.6044,2577.2678365826605,824.6983356490471
194,1251140.2581086927,0.6044,2577.2678365826605,828.0213488475796
195,1265760.7590148163,0.606,2637.5901795566083,835.4856495147302
196,1268756.716250987,0.6064,2637.5901795566083,836.9107626985402
197,1271055.4879109089,0.6064,2637.5901795566083,838.4271028436075
198,1292239.5072569672,0.61,2867.8194510519506,847.3701686930933
199,1310732.0275022273,0.6132,2970.3120075523852,855.011107307389
200,1320344.9714351778,0.6148,2970.3120075523852,859.0403197366154
201,1334712.9725787109,0.6168,3336.746672922373,865.5726151612911
202,1341880.5842973716,0.6176,3336.746672922373,869.0936426796447
203,1341936.6155719704,0.6176,3336.746672922373,869.1299323652657
204,1347683.9743017917,0.6184,3336.746672922373,871.7231399106026
205,1347736.2857597652,0.6184,3336.746672922373,871.7569765587097
206,1347827.0335977497,0.6184,3336.746672922373,871.8156750308859
207,1348340.1970008553,0.6184,3336.746672922373,872.1476047870992
208,1375680.276948902,0.6204,3402.17542578578,886.963428077951
209,1378488.6986744702,0.6208,3402.17542578578,888.2014811046844
210,1410332.3243858917,0.6248,3402.17542578578,902.9016161241304
211,1414008.7470977514,0.6252,3402.17542578578,904.676101789988
212,1441069.612227409,0.6284,3482.896355986595,917.2944699092354
213,1466286.1452840674,0.6308,3526.520186817646,929.7946387343484
214,1470207.747999817,0.6308,3588.8303262114523,932.2813874443988
215,1470207.747999817,0.6308,3588.8303262114523,932.2813874443988
216,1472969.7988965635,0.6344,3588.8303262114523,928.7325339827008
